'Page Number,'Type,'Text,'Confidence Score % (Line),
"'1","'LINE","'INVOICE","'100.00000000"
"'1","'LINE","'POLICE SERVICES","'99.99023438"
"'1","'LINE","'Invoice No. 5061437","'99.95767975"
"'1","'LINE","'Page: 1","'99.58415985"
"'1","'LINE","'ROSALINDA C. SOLIS","'99.60292816"
"'1","'LINE","'Date: 6/20/2025","'99.99511719"
"'1","'LINE","'P.O. BOX 20100","'99.81013489"
"'1","'LINE","'Acct: 1435\04","'99.14341736"
"'1","'LINE","'EL PASO, TX 79998","'99.90702820"
"'1","'LINE","'Account PO#: 2404969","'99.20984650"
"'1","'LINE","'EL PASO INDEPENENT SCHOOL DISTRICT","'99.90203094"
"'1","'LINE","'From: 6/1/2025 to 6/20/2025","'99.95117188"
"'1","'LINE","'RATE","'100.00000000"
"'1","'LINE","'QTY","'100.00000000"
"'1","'LINE","'TOTAL","'100.00000000"
"'1","'LINE","'WORKORDERS","'99.96014404"
"'1","'LINE","'Description","'100.00000000"
"'1","'LINE","'Rate","'100.00000000"
"'1","'LINE","'Qty","'100.00000000"
"'1","'LINE","'Amount","'100.00000000"
"'1","'LINE","'WO #00092341 6/11/2025","'99.64086151"
"'1","'LINE","'32 GALLON CONSOLE","'99.97396088"
"'1","'LINE","'11.8100","'99.89257813"
"'1","'LINE","'1.00","'99.99023438"
"'1","'LINE","'11.81","'99.92187500"
"'1","'LINE","'TOTAL BINS SERVICED","'99.73307037"
"'1","'LINE","'0.0000","'99.96014404"
"'1","'LINE","'1.00","'100.00000000"
"'1","'LINE","'0.00","'100.00000000"
"'1","'LINE","'11.81","'99.87304688"
"'1","'LINE","'11.81","'99.80468750"
"'1","'LINE","'11.81","'99.88281250"
"'1","'LINE","'Total Amount Due","'99.99349213"
"'1","'LINE","'11.81","'99.92187500"
"'1","'LINE","'Sun City Records Management/ Sun City Shredding","'99.04972076"
"'1","'LINE","'9230 Billy the Kid, El Paso, TX 79907","'99.11712646"
"'1","'LINE","'915-542-3030 I suncityshred95@outlook.com","'84.42900848"
"'2","'LINE","'INVOICE","'100.00000000"
"'2","'LINE","'ZACH WHITE ELEMENTARY","'99.60233307"
"'2","'LINE","'Invoice No. 5061439","'99.94466400"
"'2","'LINE","'Page: 1","'99.58415985"
"'2","'LINE","'ACCOUNTSPAYABLE@EPISD.ORG","'97.71823120"
"'2","'LINE","'Date: 6/20/2025","'99.99023438"
"'2","'LINE","'P.O. BOX 20100","'99.50766754"
"'2","'LINE","'Acct: 1435\06","'98.81437683"
